,carat,cut,color,clarity,depth,table,x,y,z,clarity_num,cut_num,color_num,price_predicted
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,1,4,5,3786.040379975295
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,2,3,5,3899.846047192126
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,2,3,2,3476.4892971301615
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,4,2,1,4704.201596690202
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,2,5,2,4339.080067607638
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,3,1,2,4042.7414803740885
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,3,5,3,3608.781320393382
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,1,3,1,4394.650513845065
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,5,2,4,4997.931098230905
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,4,1,3,5119.675400624508
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,6,5,3,3868.0915064850215
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,0,1,2,4032.1937595044674
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,3,5,0,3756.9506140101603
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,4,5,6,3082.2223130333387
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,2,3,1,3185.4245703314245
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,3,3,4,3876.0301416617967
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,1,4,4,4431.678914986982
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,0,4,1,4111.524422223103
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,2,3,2,4574.574348168944
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,3,3,6,4182.972138814088
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,3,4,4,3876.0301416617967
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,4,3,5,4630.144794406375
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,2,4,4,3976.567624217916
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,2,4,2,4415.801644633428
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,4,4,3,4103.585787046328
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,5,5,5,3592.9040500398314
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,5,5,6,3333.5938639481956
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,2,4,0,4659.234560371513
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,4,5,3,3860.152871308246
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,0,5,4,3852.2142361314673
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,2,4,4,4243.816445486327
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,1,4,2,4997.931098230905
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,1,4,5,4315.264162077308
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,3,4,4,4743.894772574078
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,1,2,4,4006.7400067945764
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,3,3,3,4450.220960082499
209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,2,4,3,4016.2608001017925
210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,2,5,3,3672.2904018075915
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,1,4,2,4008.322164925017
212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,3,4,3,3944.8130835108113
213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,2,5,5,3883.968776838572
214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,4,4,3,4778.314088023149
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,0,4,5,4598.390253699274
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,0,4,4,4643.357290017962
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,1,4,2,4111.524422223103
218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,6,5,4,3389.16431018563
219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,3,1,1,3659.077906196004
220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,4,5,5,3844.275600954692
221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,3,5,3,3852.2142361314673
222,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,2,5,2,3553.210874155955
223,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,6,2,1,4968.841332265771
224,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,3,5,3,3648.474496277262
225,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,3,5,3,3365.3484046553003
226,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,3,4,4,4071.8312463392267
227,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,3,3,1,4151.217598106983
228,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,2,4,3,4063.8926111624514
229,1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,2,4,4,3169.5472999778704
230,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,2,2,6,4474.036865612825
231,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,2,4,5,4108.85964748114
232,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,4,5,3,3545.272238979176
233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,1,2,0,5066.7140400799235
234,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,6,5,4,3325.6552287714203
235,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,6,5,3,3545.272238979176
236,0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,2,3,3,4095.6471518695525
237,1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,7,4,2,4339.080067607638
238,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,1,3,2,4614.267524052824
239,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,4,3,6,4103.585787046328
240,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,5,2,4,4881.516345321235
241,0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,5,2,5,5474.193519788334
242,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,5,5,4,3608.781320393382
243,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,1,3,6,4204.123269602447
244,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,7,3,3,3780.766519540486
245,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,3,5,5,3317.716593594645
246,1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,5,4,0,4386.7118786682895
247,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,1,5,6,3397.102945362405
248,1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,0,4,4,3936.874448334036
249,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,2,2,5,3296.565462806282
250,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,4,5,5,4103.585787046328
251,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,3,2,2,3971.2937637831074
252,1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,1,4,4,4347.018702784413
253,0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,3,5,4,3852.2142361314673
254,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,2,2,3,3971.2937637831074
255,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,2,2,5,3476.4892971301615
256,1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,2,3,1,4180.307364072121
257,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,3,5,3,3836.3369657779167
258,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,2,2,3,4709.531146174135
259,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,3,5,5,3812.521060247591
260,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,2,3,4,3569.0881445095056
261,0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,2,5,6,3883.968776838572
262,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,3,5,2,3899.846047192126
263,1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,2,4,2,3913.05854280371
264,1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,4,3,0,3796.6437898940403
265,1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,5,5,2,3545.272238979176
266,0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,2,5,4,3804.5824250708156
267,0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,3,5,1,3616.719955570161
268,0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,4,5,5,3349.4711343017498
269,0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,7,5,3,3577.026779686281
270,0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,3,3,4,4008.322164925017
271,0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,1,5,4,3756.9506140101603
272,0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,2,4,4,4862.974300225718
